,año,sem,codigo,vales,zapatos,otras,fonac,alim,infon,falt,enf,ries,ISPT,ISPTA,IMSS,subs,t_per_g,t_per_e,t_per,t_ded,neto
33,2019,1,7407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.37,0.0,29.01,0.0,1386.38,377.72,1764.1,56.38,1707.72
34,2019,1,7828,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.14,9.18,1118.56,260.09,1378.65,23.14,1355.51
35,2019,1,7773,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.02,33.95,938.63,231.42,1170.05,22.02,1148.03
36,2019,1,7839,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.96,0.0,53.71,0.0,2114.51,319.12,2433.63,234.67,2198.96
37,2019,1,1424,1.0,0.0,250.0,0.0,0.0,457.22,0.0,0.0,0.0,319.52,0.0,96.37,0.0,2890.24,619.86,3510.1,1124.11,2385.99
38,2019,1,5280,1.0,0.0,0.0,362.1,0.0,435.11,0.0,0.0,0.0,152.32,0.0,48.39,0.0,1920.48,289.67,2210.15,998.92,1211.23
39,2019,1,7742,1.0,0.0,0.0,0.0,0.0,0.0,144.2,0.0,0.0,0.0,0.0,17.74,50.19,785.3,146.36,931.66,162.94,768.72
40,2019,1,6461,1.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.67,8.37,1130.94,206.22,1337.16,231.67,1105.49
41,2019,1,6765,1.0,0.0,0.0,0.0,0.0,0.0,146.75,0.0,0.0,0.0,0.0,31.74,8.6,1251.98,243.68,1495.66,179.49,1316.17
42,2019,1,7694,1.0,0.0,0.0,0.0,0.0,0.0,120.51,0.0,0.0,0.0,0.0,19.77,35.04,950.88,341.51,1292.39,141.28,1151.11
43,2019,1,7752,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.28,71.69,436.76,131.97,568.73,23.28,545.45
45,2019,1,6657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2019,1,5000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.42,0.0,29.0,0.0,1267.34,360.45,1627.79,43.42,1584.37
47,2019,1,5644,1.0,0.0,0.0,0.0,0.0,331.25,0.0,0.0,0.0,0.0,0.0,29.88,6.75,1145.89,219.54,1365.43,362.13,1003.3
48,2019,1,6638,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.08,38.26,871.38,158.48,1029.86,22.08,1007.78
49,2019,1,7800,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.31,38.9,861.38,159.12,1020.5,21.31,999.19
50,2019,1,6690,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.32,33.13,951.51,243.47,1194.98,22.32,1172.66
51,2019,1,7168,1.0,0.0,0.0,0.0,0.0,0.0,120.51,0.0,0.0,0.0,0.0,25.75,48.29,796.38,148.76,945.14,147.26,797.88
52,2019,1,4233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.66,21.92,497.04,21.92,518.96,10.66,508.3
53,2019,1,7786,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.19,38.9,861.38,159.12,1020.5,21.19,999.31
