,sem,codigo,vales,zapatos,otras,fonac,alim,infon,falt,enf,ries,ISPT,ISPTA,IMSS,subs
1,1,7840,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.63,0.0,49.55,0.0
2,1,7505,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.93,0.0,24.12,0.0
3,1,6600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.07,33.13
4,1,7685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.04,38.26
5,1,7331,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.71,34.96
6,1,5933,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.01,31.67
7,1,7170,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7,30.02
8,1,7774,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.81,34.14
9,1,5201,1.0,0.0,0.0,0.0,0.0,312.81,0.0,0.0,0.0,158.2,0.0,36.2,0.0
10,1,3890,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.36,0.0,54.71,0.0
11,1,7834,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.59,9.28
12,1,3652,1.0,0.0,0.0,0.0,0.0,380.99,0.0,0.0,0.0,154.0,0.0,51.13,0.0
13,1,1123,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.02,0.0,48.57,0.0
14,1,4044,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.23,0.0,33.04,0.0
15,1,7593,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.65,35.79
16,1,7259,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.27,38.9
17,1,7312,1.0,0.0,0.0,0.0,0.0,0.0,120.51,0.0,0.0,0.0,0.0,20.72,33.62
18,1,7338,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.12,29.13
