,sem,codigo,vales,zapatos,otras,fonac,alim,infon,falt,enf,ries,ISPT,ISPTA,IMSS,subs,t_per_g,t_per_e,t_per,t_ded,neto
39,1,6472,1.0,0.0,0.0,0.0,0.0,1224.02,0.0,0.0,0.0,404.08,0.0,115.27,0.0,3286.12,847.47,4133.59,1744.37,2389.22
40,1,7442,1.0,0.0,0.0,84.0,0.0,216.09,0.0,0.0,0.0,0.0,0.0,28.56,7.69,1137.24,170.44,1307.68,329.65,978.03
41,1,6461,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.26,10.6,1096.33,180.36,1276.69,27.26,1249.43
42,1,6765,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.21,0.0,29.83,0.0,1283.83,227.31,1511.14,46.04,1465.1
43,1,7012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.74,0.0,21.57,0.0,1371.38,120.22,1491.6,47.31,1444.29
45,1,7478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1,5000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.47,4.82,1163.63,233.0,1396.63,28.47,1368.16
47,1,7206,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.93,38.9,861.38,159.12,1020.5,20.93,999.57
48,1,5644,1.0,0.0,30.0,0.0,0.0,311.41,0.0,0.0,0.0,0.0,0.0,28.5,9.69,1110.56,193.69,1304.25,370.91,933.34
49,1,7519,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.74,0.0,21.85,0.0,1371.38,120.22,1491.6,47.59,1444.01
50,1,7292,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.73,38.9,861.38,159.12,1020.5,21.73,998.77
51,1,6690,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.05,0.0,21.92,0.0,1383.47,142.31,1525.78,48.97,1476.81
52,1,90,1.0,0.0,0.0,0.0,0.0,458.89,0.0,0.0,0.0,29.75,0.0,34.16,0.0,1417.46,209.19,1626.65,523.8,1102.85
53,1,7168,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.26,38.26,871.38,202.66,1074.04,22.26,1051.78
54,1,6958,1.0,0.0,100.0,0.0,0.0,0.0,123.7,0.0,0.0,0.0,0.0,18.97,50.19,764.8,146.36,911.16,243.67,667.49
55,1,4314,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.63,0.0,52.16,0.0,1657.76,246.04,1903.8,126.79,1777.01
56,1,6193,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.32,10.96,1090.76,166.28,1257.04,27.32,1229.72
57,1,5332,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.81,36.78,894.52,190.13,1084.65,20.81,1063.84
58,1,7485,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.11,38.26,871.38,158.48,1029.86,24.11,1005.75
59,1,4287,1.0,0.0,0.0,0.0,0.0,0.0,163.22,0.0,0.0,0.0,0.0,23.43,35.8,979.83,160.05,1139.88,187.65,952.23
60,1,6427,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.15,34.24,934.17,251.73,1185.9,23.15,1162.75
61,1,6504,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9,37.55,882.43,168.81,1051.24,23.9,1027.34
62,1,7517,1.0,0.0,0.0,0.0,0.0,0.0,123.7,0.0,0.0,17.77,0.0,23.65,0.0,1431.07,162.44,1593.51,166.12,1427.39
63,1,5745,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.28,35.43,915.56,199.83,1115.39,21.28,1094.11
64,1,6884,1.0,0.0,0.0,0.0,0.0,0.0,206.76,0.0,0.0,0.0,0.0,16.23,46.46,747.34,126.83,874.17,223.99,650.18
65,1,6849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.7,0.0,29.52,0.0,1523.05,418.42,1941.47,81.22,1860.25
66,1,7061,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.01,0.0,23.32,0.0,2021.08,169.92,2191.0,189.33,2001.67
67,1,881,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.45,38.9,861.38,159.12,1020.5,21.45,999.05
68,1,6334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57,0.0,29.31,0.0,1250.36,179.1,1429.46,41.88,1387.58
69,1,2413,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.26,15.09,393.78,71.69,465.47,12.26,453.21
70,1,7428,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.16,38.26,871.38,158.48,1029.86,24.16,1005.7
71,1,7567,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.55,36.14,904.52,189.49,1094.01,21.55,1072.46
72,1,2897,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.73,32.75,957.38,152.97,1110.35,21.73,1088.62
73,1,7558,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.65,0.0,26.12,0.0,1361.38,120.22,1481.6,50.77,1430.83
74,1,6360,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.48,38.9,861.38,293.29,1154.67,21.48,1133.19
75,1,7572,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.99,31.16,180.27,55.2,235.47,8.99,226.48
76,1,3318,1.0,0.0,0.0,0.0,0.0,469.96,0.0,0.0,0.0,179.01,0.0,55.88,0.0,2108.56,301.36,2409.92,705.85,1704.07
77,1,5139,1.0,0.0,0.0,0.0,0.0,712.24,0.0,0.0,0.0,270.04,0.0,71.01,0.0,2638.09,293.88,2931.97,1054.29,1877.68
78,1,6083,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.01,34.24,934.17,208.68,1142.85,24.01,1118.84
79,1,6766,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.99,0.0,30.73,0.0,1309.36,199.04,1508.4,49.72,1458.68
80,1,4137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.64,0.0,102.55,0.0,2886.12,442.57,3328.69,422.19,2906.5
81,1,7542,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.59,38.26,871.38,158.48,1029.86,21.59,1008.27
82,1,3780,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.84,0.0,34.85,0.0,1427.46,271.9,1699.36,66.69,1632.67
83,1,7571,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.99,24.04,291.17,64.22,355.39,8.99,346.4
84,1,6205,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.39,38.26,871.38,202.66,1074.04,24.39,1049.65
85,1,5027,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.19,6.28,1150.17,136.54,1286.71,31.19,1255.52
86,1,7245,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.06,38.26,871.38,158.48,1029.86,21.06,1008.8
87,1,6839,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.23,35.43,915.56,199.83,1115.39,21.23,1094.16
89,1,5646,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.48,38.26,871.38,158.48,1029.86,21.48,1008.38
