,sem_x,codigo_x,dias_pag,dias_lab,sueldo,comp,asist,transp,vales_x,te_dob,te_trip,desc_Lab,fest_lab,dominic,perc_grav,obj,aguin,vac,prim_vac,grat_esp,util,PK,sem_y,codigo_y,vales_y,zapatos,otras,fonac,alim,infon,falt,enf,ries,ISPT,ISPTA,IMSS,subs
18,1,5677,7.0,5.0,856.94,160.3,60.0,60.0,162.75,275.44,137.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15677,1,5677,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.23,0.0,33.57,0.0
19,1,7737,7.0,5.0,721.0,30.38,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17737,1,7737,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.82,38.9
20,1,6210,7.0,5.0,721.0,30.38,60.0,60.0,120.22,51.5,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,16210,1,6210,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.88,30.21
21,1,6213,7.0,5.0,721.0,173.04,60.0,50.0,143.04,0.0,0.0,0.0,206.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,16213,1,6213,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.77,0.0,25.36,0.0
22,1,7812,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17812,1,7812,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.62,38.26
23,1,849,7.0,5.0,856.94,37.1,60.0,50.0,143.04,0.0,0.0,0.0,0.0,0.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,1849,1,849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.88,0.0,28.63,0.0
24,1,7536,7.0,4.0,721.0,24.3,0.0,40.0,96.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.5,0.0,0.0,17536,1,7536,1.0,0.0,0.0,0.0,0.0,0.0,144.2,0.0,0.0,0.0,0.0,18.06,50.19
25,1,7430,7.0,5.0,1260.0,460.11,60.0,60.0,275.21,0.0,0.0,360.0,360.0,90.0,218.05,0.0,0.0,0.0,0.0,0.0,0.0,17430,1,7430,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.31,0.0,69.76,0.0
26,1,5181,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15181,1,5181,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.64,38.26
27,1,7655,7.0,5.0,721.0,30.38,60.0,50.0,120.22,154.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17655,1,7655,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.54,33.95
28,1,7057,7.0,5.0,721.0,30.38,60.0,50.0,120.22,0.0,0.0,0.0,206.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,17057,1,7057,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.1,0.0,23.94,0.0
29,1,5558,7.0,5.0,721.0,173.04,60.0,60.0,143.04,0.0,0.0,0.0,206.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,15558,1,5558,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.37,0.0,30.74,0.0
30,1,4746,7.0,5.0,878.01,248.78,60.0,50.0,180.28,188.14,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,14746,1,4746,1.0,0.0,0.0,0.0,0.0,337.44,0.0,0.0,0.0,45.57,0.0,34.99,0.0
31,1,7663,7.0,5.0,721.0,30.38,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,264.34,0.0,0.0,0.0,0.0,0.0,0.0,17663,1,7663,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3,8.72
32,1,7407,7.0,5.0,721.0,30.38,60.0,60.0,120.22,206.0,309.0,206.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17407,1,7407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.37,0.0,29.01,0.0
33,1,7828,7.0,5.0,721.0,123.06,60.0,60.0,135.04,231.75,38.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17828,1,7828,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.14,9.18
34,1,7773,7.0,5.0,721.0,30.38,60.0,50.0,120.22,154.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17773,1,7773,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.02,33.95
35,1,7839,7.0,5.0,1258.95,735.56,60.0,60.0,319.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17839,1,7839,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.96,0.0,53.71,0.0
36,1,1424,7.0,5.0,1962.52,597.45,60.0,60.0,409.59,420.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11424,1,1424,1.0,0.0,250.0,0.0,0.0,457.22,0.0,0.0,0.0,319.52,0.0,96.37,0.0
37,1,5280,7.0,5.0,1166.69,643.79,60.0,50.0,289.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15280,1,5280,1.0,0.0,0.0,362.1,0.0,435.11,0.0,0.0,0.0,152.32,0.0,48.39,0.0
38,1,7742,7.0,4.0,721.0,24.3,0.0,40.0,96.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17742,1,7742,1.0,0.0,0.0,0.0,0.0,0.0,144.2,0.0,0.0,0.0,0.0,17.74,50.19
39,1,6461,7.0,5.0,836.99,173.95,60.0,60.0,161.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1,0.0,0.0,16461,1,6461,1.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.67,8.37
40,1,6765,7.0,4.0,878.01,245.58,0.0,50.0,156.69,156.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16765,1,6765,1.0,0.0,0.0,0.0,0.0,0.0,146.75,0.0,0.0,0.0,0.0,31.74,8.6
41,1,7694,7.0,4.0,721.0,25.38,0.0,50.0,100.47,0.0,0.0,103.0,206.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17694,1,7694,1.0,0.0,0.0,0.0,0.0,0.0,120.51,0.0,0.0,0.0,0.0,19.77,35.04
42,1,7752,7.0,5.0,361.53,15.23,30.0,30.0,60.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17752,1,7752,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.28,71.69
43,1,6657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16657,1,6657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1,5000,7.0,5.0,856.94,152.67,60.0,60.0,161.53,91.81,0.0,183.63,0.0,61.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000,1,5000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.42,0.0,29.0,0.0
45,1,5644,7.0,5.0,836.99,173.95,60.0,60.0,161.75,29.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1,0.0,0.0,15644,1,5644,1.0,0.0,0.0,0.0,0.0,331.25,0.0,0.0,0.0,0.0,0.0,29.88,6.75
46,1,6638,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16638,1,6638,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.08,38.26
47,1,7800,7.0,5.0,721.0,30.38,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17800,1,7800,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.31,38.9
48,1,6690,7.0,5.0,721.0,30.38,60.0,50.0,120.22,180.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16690,1,6690,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.32,33.13
49,1,7168,7.0,4.0,721.0,25.38,0.0,50.0,100.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17168,1,7168,1.0,0.0,0.0,0.0,0.0,0.0,120.51,0.0,0.0,0.0,0.0,25.75,48.29
50,1,4233,4.0,3.0,361.53,15.23,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,60.28,0.0,0.0,0.0,0.0,0.0,0.0,14233,1,4233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.66,21.92
51,1,7786,7.0,5.0,721.0,30.38,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17786,1,7786,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.19,38.9
52,1,4314,7.0,5.0,856.31,742.98,60.0,60.0,255.88,91.74,0.0,0.0,0.0,0.0,245.79,0.0,0.0,0.0,0.0,0.0,0.0,14314,1,4314,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.39,0.0,60.16,0.0
53,1,7632,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17632,1,7632,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.13,38.26
54,1,6504,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.83,0.0,0.0,16504,1,6504,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.83,38.26
55,1,7801,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,206.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17801,1,7801,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.88,31.67
56,1,7604,7.0,4.0,721.0,25.38,0.0,50.0,100.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17604,1,7604,1.0,0.0,0.0,0.0,0.0,0.0,120.51,0.0,0.0,0.0,0.0,19.15,48.29
57,1,7061,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,206.0,0.0,51.5,254.48,0.0,0.0,0.0,0.0,0.0,0.0,17061,1,7061,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23,0.0,30.29,0.0
58,1,7805,7.0,5.0,856.94,201.39,60.0,60.0,169.33,91.81,137.72,0.0,0.0,61.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17805,1,7805,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.71,0.0,29.75,0.0
59,1,7633,7.0,5.0,721.0,30.38,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17633,1,7633,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.99,38.9
60,1,7428,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,206.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17428,1,7428,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.15,31.67
61,1,2897,7.0,5.0,721.0,30.38,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12897,1,2897,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.86,38.9
62,1,7558,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17558,1,7558,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.03,38.26
63,1,6360,7.0,4.0,721.0,25.38,0.0,50.0,100.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16360,1,6360,1.0,0.0,0.0,0.0,0.0,0.0,120.51,0.0,0.0,0.0,0.0,19.14,48.29
64,1,7614,7.0,4.0,856.94,91.05,0.0,40.0,124.25,0.0,0.0,0.0,0.0,0.0,144.82,0.0,0.0,0.0,0.0,0.0,0.0,17614,1,7614,1.0,0.0,0.0,0.0,0.0,0.0,171.38,0.0,0.0,0.0,0.0,26.89,27.85
65,1,3318,7.0,5.0,1020.18,938.7,60.0,50.0,313.42,0.0,0.0,0.0,291.48,0.0,615.0,0.0,0.0,0.0,0.0,0.0,0.0,13318,1,3318,1.0,0.0,0.0,0.0,0.0,500.52,0.0,0.0,0.0,306.57,0.0,60.38,0.0
66,1,7706,7.0,5.0,721.0,30.38,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17706,1,7706,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.07,38.9
67,1,7804,7.0,5.0,994.07,460.11,60.0,50.0,232.66,213.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17804,1,7804,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.04,0.0,39.55,0.0
68,1,5139,7.0,5.0,1400.0,436.8,60.0,60.0,293.88,0.0,0.0,0.0,0.0,0.0,681.29,0.0,0.0,0.0,65.6,0.0,0.0,15139,1,5139,1.0,0.0,0.0,0.0,0.0,759.2,0.0,0.0,0.0,270.04,0.0,84.29,0.0
69,1,6083,7.0,5.0,721.0,93.17,60.0,60.0,130.26,231.75,38.62,206.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16083,1,6083,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.84,1.77
70,1,6766,7.0,5.0,856.94,152.67,60.0,50.0,161.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.05,0.0,0.0,16766,1,6766,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31,9.11
71,1,4137,7.0,5.0,1964.97,1050.07,60.0,60.0,482.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14137,1,4137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.8,0.0,137.6,0.0
72,1,7542,7.0,5.0,721.0,30.38,60.0,60.0,120.22,51.5,0.0,206.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17542,1,7542,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.38,30.02
73,1,7756,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17756,1,7756,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.59,38.26
74,1,7759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17759,1,7759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,1,3780,7.0,5.0,878.01,429.45,60.0,60.0,209.19,31.35,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,13780,1,3780,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.8,0.0,37.18,0.0
76,1,6205,7.0,5.0,721.0,123.06,60.0,60.0,135.04,77.25,38.62,0.0,0.0,51.5,0.0,0.0,0.0,0.0,120.58,0.0,0.0,16205,1,6205,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.81,20.88
77,1,5027,7.0,5.0,721.0,173.04,60.0,60.0,143.04,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,15027,1,5027,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36,0.0,34.61,0.0
78,1,7791,7.0,5.0,721.0,30.38,60.0,60.0,120.22,51.5,0.0,0.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17791,1,7791,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.37,36.61
79,1,7818,7.0,5.0,721.0,173.04,60.0,50.0,143.04,0.0,0.0,0.0,206.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,17818,1,7818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.77,0.0,24.46,0.0
80,1,7815,7.0,5.0,721.0,30.38,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17815,1,7815,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.81,38.9
81,1,7838,7.0,5.0,721.0,173.04,60.0,60.0,143.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17838,1,7838,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.19,29.13
82,1,6839,7.0,5.0,721.0,30.38,60.0,60.0,120.22,77.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.83,0.0,0.0,16839,1,6839,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.71,35.79
83,1,5646,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,206.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15646,1,5646,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.98,31.67
84,1,7750,7.0,5.0,361.53,15.23,30.0,30.0,60.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17750,1,7750,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.54,71.69
85,1,7708,7.0,5.0,721.0,30.38,60.0,60.0,120.22,51.5,0.0,154.5,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17708,1,7708,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.39,31.67
86,1,7833,7.0,2.0,721.0,15.23,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,60.27,0.0,0.0,0.0,0.0,0.0,0.0,17833,1,7833,0.0,0.0,0.0,0.0,0.0,0.0,361.53,0.0,0.0,0.0,0.0,13.52,39.93
87,1,5679,7.0,5.0,856.94,243.74,60.0,60.0,176.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.55,0.0,0.0,15679,1,5679,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,35.62,0.0
88,1,7530,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17530,1,7530,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.35,38.26
89,1,6028,7.0,5.0,836.99,173.95,60.0,60.0,161.75,269.03,89.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16028,1,6028,1.0,0.0,0.0,0.0,0.0,399.3,0.0,0.0,0.0,22.97,0.0,34.39,0.0
90,1,6565,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16565,1,6565,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.42,38.26
91,1,7731,7.0,5.0,721.0,30.38,60.0,50.0,120.22,154.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17731,1,7731,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.62,33.95
92,1,7753,7.0,4.0,721.0,138.43,0.0,40.0,114.43,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,17753,1,7753,1.0,0.0,0.0,0.0,0.0,0.0,144.2,0.0,0.0,12.1,0.0,26.9,0.0
93,1,3676,7.0,5.0,878.01,293.86,60.0,50.0,187.49,282.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13676,1,3676,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.35,0.0,35.79,0.0
94,1,3221,7.0,5.0,836.99,271.25,60.0,60.0,177.31,179.35,0.0,239.14,0.0,59.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13221,1,3221,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.39,0.0,33.33,0.0
