,año,sem,codigo,dias_pag,dias_lab,sueldo,comp,asist,transp,vales,te_dob,te_trip,desc_Lab,fest_lab,dominic,perc_grav,obj,aguin,vac,prim_vac,grat_esp,util
36,2019,1,1424,7.0,5.0,1962.52,597.45,60.0,60.0,409.59,420.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
37,2019,1,5280,7.0,5.0,1166.69,643.79,60.0,50.0,289.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
38,2019,1,7742,7.0,4.0,721.0,24.3,0.0,40.0,96.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
39,2019,1,6461,7.0,5.0,836.99,173.95,60.0,60.0,161.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1,0.0,0.00
40,2019,1,6765,7.0,4.0,878.01,245.58,0.0,50.0,156.69,156.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
41,2019,1,7694,7.0,4.0,721.0,25.38,0.0,50.0,100.47,0.0,0.0,103.0,206.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
42,2019,1,7752,7.0,5.0,361.53,15.23,30.0,30.0,60.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
43,2019,1,6657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
44,2019,1,5000,7.0,5.0,856.94,152.67,60.0,60.0,161.53,91.81,0.0,183.63,0.0,61.21,0.0,0.0,0.0,0.0,0.0,0.0,0.00
45,2019,1,5644,7.0,5.0,836.99,173.95,60.0,60.0,161.75,29.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1,0.0,0.00
46,2019,1,6638,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
47,2019,1,7800,7.0,5.0,721.0,30.38,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
48,2019,1,6690,7.0,5.0,721.0,30.38,60.0,50.0,120.22,180.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
49,2019,1,7168,7.0,4.0,721.0,25.38,0.0,50.0,100.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
50,2019,1,4233,4.0,3.0,361.53,15.23,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,60.28,0.0,0.0,0.0,0.0,0.0,0.00
51,2019,1,7786,7.0,5.0,721.0,30.38,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
52,2019,1,4314,7.0,5.0,856.31,742.98,60.0,60.0,255.88,91.74,0.0,0.0,0.0,0.0,245.79,0.0,0.0,0.0,0.0,0.0,0.00
53,2019,1,7632,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
54,2019,1,6504,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.83,0.0,0.00
55,2019,1,7801,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,206.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
56,2019,1,7604,7.0,4.0,721.0,25.38,0.0,50.0,100.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
57,2019,1,7061,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,206.0,0.0,51.5,254.48,0.0,0.0,0.0,0.0,0.0,0.00
58,2019,1,7805,7.0,5.0,856.94,201.39,60.0,60.0,169.33,91.81,137.72,0.0,0.0,61.21,0.0,0.0,0.0,0.0,0.0,0.0,0.00
59,2019,1,7633,7.0,5.0,721.0,30.38,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
60,2019,1,7428,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,206.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
