sem_x,codigo_x,dias_pag,dias_lab,sueldo,comp,asist,transp,vales_x,te_dob,te_trip,desc_Lab,fest_lab,dominic,perc_grav,obj,aguin,vac,prim_vac,grat_esp,util,PK,sem_y,codigo_y,vales_y,zapatos,otras,fonac,alim,infon,falt,enf,ries,ISPT,ISPTA,IMSS,subs,t_per_g,t_per_e,t_per,t_ded,neto,antig,depto,puesto,label,tiempov,dist,delitos,label2
1,5993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15993,1,5993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,11,1,fue,35.49,42.6,0,0
1,7538,7,4,618.52,111.03,0,50,100.47,0,0,0,0,44.18,0,0,0,0,0,0,0,17538,1,7538,1,0,0,0,0,0,103.38,0,0,0,0,18.28,48.27,779.55,192.92,972.47,122.66,849.81,125,5,1,fue,19.363,51.21666667,0,0
1,7430,7,5,994.07,460.11,60,60,232.66,0,0,0,284.02,71,0,0,0,0,0,0,0,17430,1,7430,1,0,0,0,0,0,0,0,0,130.1,0,50.74,0,1716.19,445.67,2161.86,181.84,1980.02,545,85,0030A,sigue,9.964,19.56666667,0,1
1,5181,7,5,618.52,132.86,60,60,120.22,0,0,0,0,0,0,0,0,0,0,0,0,15181,1,5181,1,0,0,0,0,0,0,0,0,0,0,21.11,38.26,871.38,158.48,1029.86,22.11,1007.75,2300,60,1,sigue,3.529,10.63333333,0,1
1,7463,7,5,618.52,132.86,60,60,120.22,0,0,0,0,44.18,0,0,0,0,0,0,0,17463,1,7463,1,0,0,0,0,0,0,0,0,0,0,20.83,38.26,871.38,202.66,1074.04,21.83,1052.21,179,5,1,fue,25.891,47.51666667,0,0
1,7057,7,5,618.52,132.86,60,50,120.22,0,0,0,121.49,0,600,500,0,0,0,0,0,17057,1,7057,1,0,0,0,0,0,0,0,0,165.18,0,25.05,0,2022.13,180.96,2203.09,191.23,2011.86,865,81,1,sigue,10.526,27.98333333,0,1
1,7076,7,4,816.13,123.7,0,40,124.25,0,0,0,0,0,0,0,0,0,0,0,0,17076,1,7076,1,0,0,0,0,0,163.22,0,0,0,0,22.77,35.8,979.83,160.05,1139.88,186.99,952.89,495,81,14,fue,4.407,17.11666667,104,0
1,5558,7,5,618.52,132.86,60,50,120.22,44.18,0,132.54,0,0,0,500,0,0,0,0,0,15558,1,5558,1,0,0,0,0,0,0,0,0,42.72,0,23.86,0,1449.74,208.58,1658.32,67.58,1590.74,1957,82,0003A,sigue,6.115,16.78333333,0,1
1,4746,7,5,878.01,248.78,60,50,180.28,282.21,517.39,0,0,0,0,0,0,0,0,0,0,14746,1,4746,1,0,0,0,0,316.68,0,0,0,149.58,0,31.06,0,1895.29,321.38,2216.67,498.32,1718.35,587,37,17,sigue,63.19,69.03333333,0,1
1,7573,3,2,123.7,26.57,20,10,24.04,0,0,0,0,0,0,0,0,0,0,0,0,17573,1,7573,1,0,0,0,0,0,0,0,0,0,0,7.99,31.16,180.27,55.2,235.47,8.99,226.48,194,83,1,fue,4.231,14.35,0,0
1,7516,7,5,618.52,132.86,60,60,120.22,0,0,0,0,0,0,0,0,0,0,0,0,17516,1,7516,1,0,0,0,0,0,0,0,0,0,0,21.43,38.26,871.38,158.48,1029.86,22.43,1007.43,136,85,1,fue,22.13,38.71666667,0,0
1,7407,7,5,618.52,132.86,60,60,120.22,0,0,0,0,44.18,0,0,0,0,0,0,0,17407,1,7407,1,0,0,0,0,0,0,0,0,0,0,24.24,38.26,871.38,202.66,1074.04,25.24,1048.8,559,68,1,sigue,4.271,15.8,34,1
1,7540,7,5,618.52,132.86,60,50,120.22,44.18,0,0,0,0,0,0,0,0,0,0,0,17540,1,7540,1,0,0,0,0,0,0,0,0,0,0,20.12,37.49,883.47,179.8,1063.27,21.12,1042.15,84,80,1,fue,6.219,10.06666667,0,0
1,2107,7,5,774.06,433.09,60,50,193.14,0,0,0,0,0,0,0,0,0,0,0,0,12107,1,2107,1,0,0,0,0,313.52,0,0,0,18.84,0,36.92,0,1317.15,193.14,1510.29,370.28,1140.01,1301,8,6,fue,19.108,47.05,34,0
