id_trabajador,depto,TiempoViaje,Distancia,GMU2010,IMU2010,pobtot_10,nDelitos,tDelitos
7740,5,13.023,29.21666667,Muy bajo,-1.163330685,1383,42,30.36876356
7713,5,5.677,17.2,Bajo,-0.634631204,5247,21,4.002287021
7167,5,7.256,17.88333333,Medio,-0.407526356,5691,80,14.05728343
7005,5,9.738,26.85,Medio,-0.354929574,4934,77,15.60599919
8126,5,2.591,7.95,Muy bajo,-1.110210404,2176,19,8.731617647
7702,5,30.563,45.38333333,Alto,0.635743392,4623,0,0
7685,5,25.807,40.31666667,Alto,0.840286156,3254,0,0
7842,5,1.541,5.116666667,Bajo,-0.900912665,5216,162,31.05828221
7729,5,15.163,33.81666667,Medio,-0.363447737,4672,0,0
8092,5,5.677,17.2,Bajo,-0.634631204,5247,21,4.002287021
90,5,19.141,36.38333333,Muy bajo,-1.274805583,1353,61,45.0849963
7691,5,5.677,17.2,Bajo,-0.634631204,5247,21,4.002287021
4807,6,32.767,46.88333333,Medio,-0.068983564,4145,0,0
6934,6,8.814,22.1,Muy bajo,-1.275735704,1848,61,33.00865801
4504,6,37.272,59.46666667,Alto,0.574580733,2027,0,0
6682,6,17.252,35.65,Muy bajo,-1.045938838,2009,36,17.91936287
5902,6,25.738,49.46666667,Medio,-0.203265732,501,3,5.988023952
8087,6,16.558,37.46666667,Medio,-0.585704944,4962,45,9.068923821
3890,6,43.738,69.1,Bajo,-0.891007142,2532,0,0
366,6,35.106,55.18333333,Bajo,-0.709323044,3962,54,13.62948006
8100,6,34.158,61.23333333,Alto,0.184001491,2992,0,0
214,6,24.331,42.15,Medio,-0.474807523,10152,0,0
4137,6,4.346,12.98333333,Medio,-0.306069544,7137,0,0
3979,6,30.786,62.73333333,Alto,0.113418979,6290,49,7.790143084
7673,7,28.801,52.76666667,Medio,-0.189419712,6291,0,0
7599,7,36.547,67.5,Muy alto,2.034141644,2030,0,0
7751,7,28.935,51.48333333,Muy bajo,-1.252327133,2675,41,15.3271028
7827,7,19.224,37.58333333,Bajo,-0.843419861,2543,35,13.76327173
7777,7,25.274,49.56666667,Muy bajo,-1.069837229,3112,31,9.961439589
7356,7,22.889,43.98333333,Bajo,-0.640312377,3542,22,6.211180124
6210,7,25.338,51.38333333,Bajo,-0.678220973,3477,43,12.36698303
7848,7,25.283,49.53333333,Alto,0.453320424,9150,0,0
7638,7,28.607,52.65,Medio,-0.293533486,3889,0,0
7871,8,19.433,35.85,Medio,-0.138067565,5283,0,0
6958,8,23.405,45.26666667,Medio,-0.561162525,7859,0,0
7651,8,25.85,43.93333333,Alto,0.610341841,10050,0,0
7766,8,19.224,37.58333333,Bajo,-0.843419861,2543,35,13.76327173
7597,8,18.102,32.56666667,Bajo,-0.657148532,2768,63,22.76011561
7784,8,49.271,51.63333333,Bajo,-0.930703887,3786,0,0
7806,8,25.828,51.46666667,Alto,0.247744377,4923,48,9.750152346
8010,8,22.823,37.78333333,Medio,-0.557084925,7016,0,0
2107,8,19.108,47.05,Bajo,-0.731233958,5447,34,6.241968056
7934,8,30.758,64.5,Alto,0.344383894,3440,27,7.848837209
7663,8,28.801,52.76666667,Medio,-0.189419712,6291,0,0
5630,8,20.595,32.71666667,Medio,-0.264079931,9472,0,0
6461,11,33.827,48.31666667,Alto,0.850314647,4100,0,0
7635,11,10.522,18.15,Bajo,-0.722000269,2879,35,12.15699896
7585,11,5.575,10.93333333,Muy bajo,-1.111002684,2741,1,0.364830354
5993,11,35.49,42.6,Alto,0.337775681,2448,0,0
3221,11,13.202,23.78333333,Medio,-0.123095317,4751,86,18.10145233
3960,11,11.842,18.75,Bajo,-0.795854974,2784,30,10.77586207
7596,11,38.124,53.58333333,Bajo,-0.928962406,5971,0,0
5644,11,5.22,14.08333333,Medio,-0.49658407,4710,27,5.732484076
6028,11,14.484,26.73333333,Muy bajo,-0.992368972,4623,70,15.14168289
7570,11,15.284,30.61666667,Medio,0.041437213,3745,32,8.544726302
6334,11,12.682,28.4,Bajo,-0.634631204,5247,21,4.002287021
2451,11,2.538,5.683333333,Medio,-0.50074742,3183,74,23.2485077
8071,25,12.627,28.43333333,NA,NA,NA,0,NA
8016,25,15.979,36.31666667,Bajo,-0.928962406,5971,0,0
7757,25,2.883,10.36666667,Alto,0.084921832,7099,0,0
7619,25,4.79,10.11666667,Alto,0.298829287,3037,0,0
7741,25,12.038,27.66666667,Alto,0.610341841,10050,0,0
5332,25,9.567,20.68333333,Alto,0.783742363,6499,0,0
7633,25,9.044,18.9,Bajo,-0.704898586,2708,49,18.09453471
8040,25,5.087,16.63333333,Medio,-0.189419712,6291,0,0
7643,25,9.567,20.68333333,Alto,0.783742363,6499,0,0
8060,25,9.567,20.68333333,Alto,0.783742363,6499,0,0
7815,25,14.666,35.51666667,Alto,0.757893842,6579,0,0
8111,25,5.28,10.78333333,Alto,0.690697967,6700,0,0
7567,25,16.138,30.01666667,Alto,0.260301136,5860,0,0
7631,25,6.854,21.3,Medio,-0.363447737,4672,0,0
6821,25,15.012,33.51666667,Muy bajo,-0.9794659,22876,0,0
8117,37,4.27,14.83333333,Bajo,-0.665056013,4438,49,11.04100946
2530,37,2.68,9.3,Bajo,-0.684522674,7028,74,10.52931133
7749,37,3.776,13.4,Bajo,-0.764367101,4788,82,17.12614871
7804,37,17.486,33.06666667,Medio,-0.471525914,6321,0,0
8070,37,6.618,21.73333333,Medio,-0.190770891,5097,40,7.847753581
8156,37,11.032,18.9,Muy bajo,-1.051104503,2310,0,0
7731,37,6.412,21.76666667,Alto,0.071652283,12738,5,0.392526299
7991,37,19.648,46.26666667,Muy bajo,-1.166652795,1461,30,20.5338809
8020,37,20.091,36.05,Medio,-0.193535419,8840,0,0
7243,37,21.708,32.56666667,Medio,-0.167561218,4235,0,0
7721,37,2.31,8.316666667,Bajo,-0.659844412,10265,104,10.13151486
7698,37,17.823,25.03333333,Alto,0.357540102,6536,0,0
8000,37,4.588,15.88333333,Muy bajo,-1.27405292,1477,8,5.416384563
6582,37,39.607,51.96666667,Alto,0.820802431,4565,0,0
4746,37,57.968,60.15,NA,NA,NA,0,NA
7781,37,6.618,21.73333333,Medio,-0.190770891,5097,40,7.847753581
7555,37,35.98,50.91666667,Medio,-0.264079931,9472,0,0
6061,37,27.552,49.76666667,Muy bajo,-1.027609801,5132,0,0
7665,37,8.528,20.36666667,Bajo,-0.699178151,3779,55,14.55411485
7775,37,17.173,35.68333333,Muy bajo,-1.040562879,4727,47,9.94288132
8065,37,10.361,21.93333333,Muy bajo,-1.036197855,2437,10,4.103405827
2522,45,27.122,45.81666667,Alto,0.783742363,6499,0,0
7593,45,3.987,8.333333333,Muy bajo,-1.041605202,3465,21,6.060606061
7772,45,21.099,37.16666667,Medio,-0.315604227,3286,0,0
7733,45,6.576,11.2,Medio,-0.193535419,8840,0,0
7244,45,10.051,18.16666667,Medio,-0.231091251,8055,0,0
7881,45,22.114,42.55,Bajo,-0.757495231,1513,36,23.79378718
7792,45,21.732,36.75,Medio,-0.616768054,2717,0,0
7803,45,35.057,44.38333333,Bajo,-0.930703887,3786,0,0
7667,45,34.228,63.6,NA,NA,NA,0,NA
7791,45,26.391,45.28333333,Alto,0.298829287,3037,0,0
6884,45,20.123,37.98333333,Medio,-0.145058081,7721,0,0
7906,45,16.447,28.1,Medio,-0.378486095,2824,3,1.062322946
7911,45,11.068,22.65,Bajo,-0.731233958,5447,34,6.241968056
7952,45,8.901,17.11666667,Medio,-0.5748772,4318,59,13.66373321
7902,45,24.261,42.75,Alto,0.184001491,2992,0,0
7760,45,17.379,30.8,Medio,-0.161716014,5617,0,0
8069,45,9.218,12.66666667,Bajo,-0.908064849,2812,0,0
7728,45,6.055,11.33333333,Muy bajo,-1.111002684,2741,1,0.364830354
8128,45,10.703,24.83333333,NA,NA,NA,146,NA
8081,45,5.006,9.866666667,Bajo,-0.769110258,4651,86,18.49064717
7331,45,8.901,17.11666667,Medio,-0.5748772,4318,59,13.66373321
236,45,15.297,32.76666667,Medio,-0.264079931,9472,0,0
7978,45,8.901,17.11666667,Medio,-0.5748772,4318,59,13.66373321
7843,45,24.87,32.88333333,Alto,0.281043572,2630,0,0
7640,45,13.682,24.18333333,Medio,-0.123095317,4751,86,18.10145233
