,sem,codigo,vales,zapatos,otras,fonac,alim,infon,falt,enf,ries,ISPT,ISPTA,IMSS,subs,t_per_g,t_per_e,t_per,t_ded,neto
20,1,7737,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.82,38.9,861.38,159.12,1020.5,20.82,999.68
21,1,6210,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.88,30.21,997.13,176.18,1173.31,28.88,1144.43
22,1,6213,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.77,0.0,25.36,0.0,2107.04,246.04,2353.08,205.13,2147.95
23,1,7812,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.62,38.26,871.38,158.48,1029.86,22.62,1007.24
24,1,849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.88,0.0,28.63,0.0,1589.04,143.04,1732.08,87.51,1644.57
25,1,7536,1.0,0.0,0.0,0.0,0.0,0.0,144.2,0.0,0.0,0.0,0.0,18.06,50.19,785.3,226.86,1012.16,163.26,848.9
26,1,7430,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.31,0.0,69.76,0.0,2427.56,715.81,3143.37,303.07,2840.3
27,1,5181,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.64,38.26,871.38,158.48,1029.86,21.64,1008.22
28,1,7655,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.54,33.95,938.63,231.42,1170.05,23.54,1146.51
29,1,7057,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.1,0.0,23.94,0.0,1964.38,223.22,2187.6,182.04,2005.56
30,1,5558,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.37,0.0,30.74,0.0,2117.04,246.04,2363.08,212.11,2150.97
31,1,4746,1.0,0.0,0.0,0.0,0.0,337.44,0.0,0.0,0.0,45.57,0.0,34.99,0.0,1475.86,274.35,1750.21,419.0,1331.21
32,1,7663,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3,8.72,1125.72,128.94,1254.66,28.3,1226.36
33,1,7407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.37,0.0,29.01,0.0,1386.38,377.72,1764.1,56.38,1707.72
34,1,7828,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.14,9.18,1118.56,260.09,1378.65,23.14,1355.51
35,1,7773,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.02,33.95,938.63,231.42,1170.05,22.02,1148.03
36,1,7839,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.96,0.0,53.71,0.0,2114.51,319.12,2433.63,234.67,2198.96
37,1,1424,1.0,0.0,250.0,0.0,0.0,457.22,0.0,0.0,0.0,319.52,0.0,96.37,0.0,2890.24,619.86,3510.1,1124.11,2385.99
38,1,5280,1.0,0.0,0.0,362.1,0.0,435.11,0.0,0.0,0.0,152.32,0.0,48.39,0.0,1920.48,289.67,2210.15,998.92,1211.23
39,1,7742,1.0,0.0,0.0,0.0,0.0,0.0,144.2,0.0,0.0,0.0,0.0,17.74,50.19,785.3,146.36,931.66,162.94,768.72
40,1,6461,1.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.67,8.37,1130.94,206.22,1337.16,231.67,1105.49
41,1,6765,1.0,0.0,0.0,0.0,0.0,0.0,146.75,0.0,0.0,0.0,0.0,31.74,8.6,1251.98,243.68,1495.66,179.49,1316.17
42,1,7694,1.0,0.0,0.0,0.0,0.0,0.0,120.51,0.0,0.0,0.0,0.0,19.77,35.04,950.88,341.51,1292.39,141.28,1151.11
43,1,7752,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.28,71.69,436.76,131.97,568.73,23.28,545.45
45,1,6657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1,5000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.42,0.0,29.0,0.0,1267.34,360.45,1627.79,43.42,1584.37
47,1,5644,1.0,0.0,0.0,0.0,0.0,331.25,0.0,0.0,0.0,0.0,0.0,29.88,6.75,1145.89,219.54,1365.43,362.13,1003.3
48,1,6638,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.08,38.26,871.38,158.48,1029.86,22.08,1007.78
49,1,7800,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.31,38.9,861.38,159.12,1020.5,21.31,999.19
50,1,6690,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.32,33.13,951.51,243.47,1194.98,22.32,1172.66
51,1,7168,1.0,0.0,0.0,0.0,0.0,0.0,120.51,0.0,0.0,0.0,0.0,25.75,48.29,796.38,148.76,945.14,147.26,797.88
52,1,4233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.66,21.92,497.04,21.92,518.96,10.66,508.3
53,1,7786,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.19,38.9,861.38,159.12,1020.5,21.19,999.31
54,1,4314,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.39,0.0,60.16,0.0,2010.95,301.75,2312.7,224.55,2088.15
55,1,7632,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.13,38.26,871.38,158.48,1029.86,27.13,1002.73
56,1,6504,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.83,38.26,871.38,185.31,1056.69,23.83,1032.86
57,1,7801,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.88,31.67,974.38,306.39,1280.77,22.88,1257.89
58,1,7604,1.0,0.0,0.0,0.0,0.0,0.0,120.51,0.0,0.0,0.0,0.0,19.15,48.29,796.38,148.76,945.14,140.66,804.48
59,1,7061,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23,0.0,30.29,0.0,1228.86,274.72,1503.58,40.52,1463.06
60,1,7805,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.71,0.0,29.75,0.0,1361.96,276.44,1638.4,54.46,1583.94
61,1,7633,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.99,38.9,861.38,159.12,1020.5,23.99,996.51
62,1,7428,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.15,31.67,974.38,306.39,1280.77,26.15,1254.62
63,1,2897,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.86,38.9,861.38,159.12,1020.5,20.86,999.64
64,1,7558,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.03,38.26,871.38,158.48,1029.86,24.03,1005.83
65,1,6360,1.0,0.0,0.0,0.0,0.0,0.0,120.51,0.0,0.0,0.0,0.0,19.14,48.29,796.38,148.76,945.14,140.65,804.49
66,1,7614,1.0,0.0,0.0,0.0,0.0,0.0,171.38,0.0,0.0,0.0,0.0,26.89,27.85,1132.81,152.1,1284.91,199.27,1085.64
67,1,3318,1.0,0.0,0.0,0.0,0.0,500.52,0.0,0.0,0.0,306.57,0.0,60.38,0.0,2829.62,459.16,3288.78,868.47,2420.31
68,1,7706,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.07,38.9,861.38,159.12,1020.5,24.07,996.43
69,1,7804,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.04,0.0,39.55,0.0,1670.69,339.16,2009.85,115.59,1894.26
70,1,5139,1.0,0.0,0.0,0.0,0.0,759.2,0.0,0.0,0.0,270.04,0.0,84.29,0.0,2638.09,359.48,2997.57,1114.53,1883.04
71,1,6083,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.84,1.77,1191.67,402.4,1594.07,30.84,1563.23
72,1,6766,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31,9.11,1119.61,206.69,1326.3,27.31,1298.99
73,1,4137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.8,0.0,137.6,0.0,3135.04,482.4,3617.44,510.4,3107.04
74,1,7542,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.38,30.02,1000.13,330.49,1330.62,27.38,1303.24
75,1,7756,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.59,38.26,871.38,158.48,1029.86,23.59,1006.27
76,1,7759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,1,3780,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.8,0.0,37.18,0.0,1533.14,224.86,1758.0,89.98,1668.02
78,1,6205,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.81,20.88,1041.31,366.62,1407.93,25.81,1382.12
79,1,5027,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36,0.0,34.61,0.0,1230.04,143.04,1373.08,44.97,1328.11
80,1,7791,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.37,36.61,897.13,234.08,1131.21,22.37,1108.84
81,1,7818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.77,0.0,24.46,0.0,2107.04,246.04,2353.08,204.23,2148.85
82,1,7815,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.81,38.9,861.38,159.12,1020.5,20.81,999.69
83,1,7838,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.19,29.13,1014.04,172.17,1186.21,26.19,1160.02
84,1,6839,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.71,35.79,910.01,221.46,1131.47,26.71,1104.76
85,1,5646,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.98,31.67,974.38,306.39,1280.77,27.98,1252.79
86,1,7750,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.54,71.69,436.76,131.97,568.73,21.54,547.19
87,1,7708,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.39,31.67,974.38,306.39,1280.77,22.39,1258.38
89,1,7833,0.0,0.0,0.0,0.0,0.0,0.0,361.53,0.0,0.0,0.0,0.0,13.52,39.93,826.5,39.93,866.43,375.05,491.38
90,1,5679,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,35.62,0.0,1220.68,372.65,1593.33,38.0,1555.33
91,1,7530,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.35,38.26,871.38,158.48,1029.86,26.35,1003.51
92,1,6028,1.0,0.0,0.0,0.0,0.0,399.3,0.0,0.0,0.0,22.97,0.0,34.39,0.0,1355.13,296.26,1651.39,457.66,1193.73
93,1,6565,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.42,38.26,871.38,158.48,1029.86,28.42,1001.44
94,1,7731,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.62,33.95,938.63,231.42,1170.05,24.62,1145.43
95,1,7753,1.0,0.0,0.0,0.0,0.0,0.0,144.2,0.0,0.0,12.1,0.0,26.9,0.0,1399.43,114.43,1513.86,184.2,1329.66
96,1,3676,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.35,0.0,35.79,0.0,1422.98,328.59,1751.57,67.14,1684.43
97,1,3221,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.39,0.0,33.33,0.0,1437.49,446.33,1883.82,75.72,1808.1
98,1,7741,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.83,38.9,861.38,159.12,1020.5,20.83,999.67
99,1,7779,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,27.37,0.0,1213.18,338.95,1552.13,28.93,1523.2
100,1,7269,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.38,38.26,871.38,185.31,1056.69,26.38,1030.31
101,1,2522,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.19,37.85,877.82,164.5,1042.32,28.19,1014.13
102,1,236,1.0,0.0,0.0,0.0,0.0,523.01,0.0,0.0,0.0,172.01,0.0,68.68,0.0,2064.81,359.49,2424.3,764.7,1659.6
103,1,7080,1.0,0.0,0.0,0.0,0.0,0.0,146.75,0.0,0.0,0.0,0.0,35.71,5.58,1294.86,336.57,1631.43,183.46,1447.97
104,1,5965,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.08,0.0,31.39,0.0,1282.64,375.76,1658.4,47.47,1610.93
105,1,5447,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.77,0.0,26.9,0.0,2107.04,246.04,2353.08,206.67,2146.41
106,1,7723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,1,6685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.26,4.4,1167.51,356.36,1523.87,23.26,1500.61
108,1,5549,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.52,37.44,884.26,248.86,1133.12,25.52,1107.6
109,1,854,1.0,0.0,0.0,0.0,0.0,326.19,0.0,0.0,0.0,59.69,0.0,38.44,0.0,1605.64,238.44,1844.08,425.32,1418.76
110,1,7295,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.94,30.02,1000.13,330.49,1330.62,27.94,1302.68
111,1,6832,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.02,38.26,871.38,158.48,1029.86,27.02,1002.84
112,1,4807,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.35,0.0,161.3,0.0,3783.66,564.2,4347.86,672.65,3675.21
113,1,6821,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.56,9.11,1119.61,350.92,1470.53,39.56,1430.97
114,1,3169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.48,38.26,871.38,292.65,1164.03,26.48,1137.55
115,1,4514,1.0,0.0,0.0,0.0,0.0,550.29,0.0,0.0,0.0,29.73,0.0,53.47,0.0,1417.3,375.63,1792.93,634.49,1158.44
116,1,7814,1.0,0.0,0.0,0.0,0.0,0.0,144.2,0.0,0.0,0.0,0.0,20.88,43.93,899.43,158.36,1057.79,166.08,891.71
117,1,7104,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.63,0.0,27.29,0.0,1504.04,143.04,1647.08,76.92,1570.16
118,1,7754,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.25,31.67,974.38,306.39,1280.77,23.25,1257.52
119,1,7717,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.23,0.0,33.88,0.0,1431.09,377.84,1808.93,66.11,1742.82
120,1,6014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.02,3.52,1175.52,247.0,1422.52,28.02,1394.5
121,1,7775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.97,33.95,938.63,231.42,1170.05,21.97,1148.08
122,1,7783,0.0,0.0,0.0,0.0,0.0,0.0,143.23,0.0,0.0,24.62,0.0,32.0,0.0,1513.55,306.05,1819.6,199.85,1619.75
123,1,7551,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23,0.0,30.29,0.0,1228.86,274.72,1503.58,40.52,1463.06
124,1,7715,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.65,38.26,871.38,209.98,1081.36,25.65,1055.71
125,1,3827,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.68,32.59,959.92,188.6,1148.52,28.68,1119.84
126,1,5412,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.32,38.9,861.38,293.29,1154.67,21.32,1133.35
127,1,4504,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.62,0.0,57.11,0.0,2199.89,318.38,2518.27,251.73,2266.54
128,1,7395,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.32,0.0,26.4,0.0,1491.94,435.55,1927.49,74.72,1852.77
129,1,214,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.35,0.0,161.69,0.0,3783.66,564.2,4347.86,673.04,3674.82
130,1,6321,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.12,34.24,934.17,193.57,1127.74,28.12,1099.62
131,1,5232,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.77,0.0,33.46,0.0,2207.04,246.04,2453.08,229.23,2223.85
133,1,4958,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.83,30.02,1000.13,330.49,1330.62,27.83,1302.79
134,1,3979,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.97,0.0,152.85,0.0,3365.2,519.23,3884.43,574.82,3309.61
135,1,442,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.93,0.0,38.94,0.0,1382.36,207.78,1590.14,65.87,1524.27
136,1,7699,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.33,38.26,871.38,209.98,1081.36,22.33,1059.03
137,1,7330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,1,7719,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.25,30.02,1000.13,330.49,1330.62,25.25,1305.37
139,1,7841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.99,21.47,331.35,21.47,352.82,7.99,344.83
140,1,7421,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.04,0.0,25.43,0.0,1553.76,351.96,1905.72,80.47,1825.25
141,1,7776,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.83,38.9,861.38,159.12,1020.5,20.83,999.67
142,1,7823,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.38,34.14,935.76,270.23,1205.99,22.38,1183.61
143,1,7298,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14,0.0,48.33,0.0,1582.19,370.5,1952.69,106.47,1846.22
144,1,7758,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.01,38.26,871.38,158.48,1029.86,25.01,1004.85
145,1,5396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.39,38.26,871.38,158.48,1029.86,28.39,1001.47
146,1,5704,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.75,0.0,37.09,0.0,1353.12,197.29,1550.41,60.84,1489.57
147,1,7503,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.08,32.33,964.06,218.87,1182.93,26.08,1156.85
148,1,7588,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.94,31.67,974.38,306.39,1280.77,28.94,1251.83
149,1,7821,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.47,9.28,1117.04,306.82,1423.86,24.47,1399.39
150,1,5588,1.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.45,31.67,974.38,306.39,1280.77,222.45,1058.32
151,1,6203,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.64,4.12,1170.06,345.16,1515.22,26.64,1488.58
152,1,6582,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.93,33.95,938.63,231.42,1170.05,21.93,1148.12
153,1,7392,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.25,0.19,1206.13,313.53,1519.66,25.25,1494.41
154,1,7226,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.27,9.28,1117.04,306.82,1423.86,32.27,1391.59
155,1,7664,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.75,31.67,974.38,306.39,1280.77,27.75,1253.02
156,1,7766,1.0,0.0,0.0,0.0,0.0,357.28,0.0,0.0,0.0,0.0,0.0,20.31,38.9,861.38,159.12,1020.5,378.59,641.91
157,1,3326,1.0,0.0,0.0,0.0,0.0,352.72,0.0,0.0,0.0,57.36,0.0,43.82,0.0,1584.25,428.68,2012.93,454.9,1558.03
158,1,449,1.0,0.0,250.0,0.0,0.0,386.21,0.0,0.0,0.0,166.48,0.0,34.8,0.0,2030.26,391.64,2421.9,838.49,1583.41
159,1,6934,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.84,0.0,84.5,0.0,2999.45,460.71,3460.16,428.34,3031.82
160,1,7770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.24,30.56,991.6,30.56,1022.16,26.24,995.92
161,1,7137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.6,0.0,35.89,0.0,1512.9,195.11,1708.01,86.49,1621.52
162,1,6682,1.0,0.0,0.0,0.0,0.0,0.0,144.2,0.0,0.0,0.0,0.0,17.7,50.19,785.3,146.36,931.66,162.9,768.76
163,1,1269,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.98,38.9,861.38,293.29,1154.67,20.98,1133.69
164,1,6006,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,38.9,861.38,159.12,1020.5,20.8,999.7
165,1,1419,1.0,0.0,0.0,0.0,0.0,268.68,0.0,0.0,0.0,71.9,0.0,51.65,0.0,1641.89,436.84,2078.73,393.23,1685.5
166,1,3525,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.29,0.0,32.09,0.0,1473.32,415.46,1888.78,78.38,1810.4
167,1,6885,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,18.57,1077.38,396.29,1473.67,26.7,1446.97
168,1,4775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.85,33.95,938.63,258.25,1196.88,26.85,1170.03
169,1,7528,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,9.18,1118.56,311.59,1430.15,26.9,1403.25
170,1,4832,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.97,34.14,935.76,270.23,1205.99,28.97,1177.02
171,1,7836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.24,0.0,20.04,0.0,1592.38,390.59,1982.97,79.28,1903.69
172,1,7824,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.34,34.96,922.88,258.18,1181.06,22.34,1158.72
173,1,3321,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.44,0.0,73.39,0.0,3816.84,485.21,4302.05,591.83,3710.22
