oid,id_trabajador,TiempoViaje,Distancia
221,7428,11.985,31.08333333
222,7994,11.894,31.16666667
223,8147,9.188,25.75
224,5965,6.326,15.61666667
225,8059,5.069,14.7
226,2112,12.562,32.75
227,8164,2.322,7.983333333
228,7879,4.17,12.48333333
229,8056,14.336,31.15
230,7877,3.594,10.15
231,6052,3.594,10.15
232,7893,4.933,15.76666667
233,8022,0.547,2.466666667
234,8161,6.564,18.55
235,7913,3.594,10.15
236,7886,5.416,19.56666667
237,7836,4.717,16.16666667
238,8127,1.555,5.933333333
239,8121,6.382,23.25
240,7965,1.14,5.316666667
241,7878,0.64,3.083333333
242,7783,0.64,3.083333333
243,8132,0.547,2.466666667
244,8118,1.925,7.85
245,7759,6.625,24.28333333
246,7926,46.997,70.83333333
247,8130,1.631,5.716666667
248,5282,6.564,18.55
249,8062,2.88,9.016666667
250,8159,0.892,2.666666667
251,8150,8.648,21.05
252,8163,5.678,18.95
253,7588,6.002,15.61666667
254,7925,2.482,7.816666667
255,7801,6.225,20.51666667
256,8169,4.237,15.45
257,8089,6.713,17.43333333
258,8042,6.994,17.75
259,8043,4.219,13.35
260,8103,4.679,12.9
261,8093,23.231,44.58333333
262,3326,10.067,22.98333333
263,4958,4.636,17.33333333
264,7170,8.113,20.51666667
265,7542,1.869,6.883333333
266,7295,2.684,12.56666667
267,7719,2.684,12.56666667
268,8004,6.118,22.68333333
269,8119,15.448,28.41666667
270,8073,10.793,21.38333333
271,5000,9.893,22.58333333
272,5181,3.529,10.63333333
273,7708,1.238,4.066666667
274,5588,1.238,4.066666667
275,8066,3.529,10.63333333
276,8026,2.746,6.183333333
277,8075,10.234,14.85
278,8125,3.203,7.666666667
279,8038,9.314,11.65
280,8123,7.212,10.83333333
281,8032,4.509,6.283333333
282,8064,4.509,6.283333333
283,4832,6.769,12.88333333
284,7823,3.203,7.666666667
285,8107,6.913,7.733333333
286,7824,14.259,19.5
287,1123,28.335,44.11666667
288,8013,6.744,15.1
289,7604,7.977,17.31666667
290,7378,1.104,3.433333333
291,7951,22.644,48.63333333
292,7779,8.185,18.5
293,8036,27.376,57.56666667
294,8007,15.679,42.98333333
295,7949,2.037,5.75
296,6360,2.478,8.583333333
297,8001,8.463,21.68333333
298,7770,3.928,11.45
299,8134,3,7.6
300,8133,2.478,8.583333333
301,7998,11.232,31.66666667
302,8048,3.333,8.2
303,8154,5.424,18.1
304,8025,3.691,8.05
305,8085,5.816,18.61666667
306,7914,8.338,17.78333333
307,7715,12.519,34.16666667
308,8086,10.662,33.08333333
309,7392,4.489,15.15
310,7932,6.751,20.76666667
311,8011,22.644,48.63333333
312,8145,20.882,42.26666667
313,8061,3.928,11.45
314,6379,4.489,15.15
315,6885,2.478,8.583333333
316,7758,11.232,31.66666667
317,7839,12.468,28.68333333
318,6565,6.856,21.05
319,4504,20.882,42.26666667
