codigo_x,prediction,actual,VEREDICTO,RECALL,
7693,1,0,MISS,-,
5933,1,1,OK,-,
4807,1,1,OK,-,
7650,1,0,MISS,-,
7269,1,1,OK,-,
7977,1,1,OK,-,
6083,1,1,OK,-,
3827,1,1,OK,-,
2112,1,0,MISS,-,
7976,0,0,OK,-,
7542,1,1,OK,-,
5965,1,1,OK,-,
7614,1,1,OK,-,
7732,1,0,MISS,-,
7170,1,1,OK,-,
854,1,1,OK,-,
7295,1,1,OK,-,
7485,1,0,MISS,-,
7750,1,1,OK,-,
6472,1,0,MISS,-,
1123,1,1,OK,-,
5677,1,1,OK,-,
3890,1,1,OK,-,
7536,1,1,OK,-,
8144,1,1,OK,-,
6567,0,0,OK,-,
5181,1,1,OK,-,
3780,1,1,OK,-,
7752,0,1,MISS,FN,
7168,1,1,OK,-,
7330,1,1,OK,-,
7736,0,0,OK,-,
7555,1,0,MISS,-,
1419,1,1,OK,-,
7750,1,1,OK,-,
6934,1,1,OK,-,
7226,1,1,OK,-,
7558,1,1,OK,-,
1424,1,1,OK,-,
7786,1,0,MISS,-,
7893,1,0,MISS,-,
7797,0,0,OK,-,
4504,1,1,OK,-,
3318,1,1,OK,-,
2522,1,1,OK,-,
8138,1,1,OK,-,
7168,1,1,OK,-,
7734,1,0,MISS,-,
6028,1,1,OK,-,
7896,1,1,OK,-,
7685,1,1,OK,-,
6028,1,1,OK,-,
7505,1,1,OK,-,
3676,1,1,OK,-,
5549,1,1,OK,-,
7430,1,1,OK,-,
4504,1,0,MISS,-,
7312,1,1,OK,-,
7814,1,1,OK,-,
6877,1,0,MISS,-,
3676,1,1,OK,-,
7528,1,1,OK,-,
854,1,1,OK,-,
7846,1,1,OK,-,
6379,1,0,MISS,-,
4314,1,1,OK,-,
7815,1,1,OK,-,
4746,1,1,OK,-,
6014,1,1,OK,-,
7818,1,1,OK,-,
6821,1,1,OK,-,
7754,1,1,OK,-,
7773,1,1,OK,-,
5139,1,1,OK,-,
7312,1,0,MISS,-,
7664,1,1,OK,-,
366,1,1,OK,-,
7847,0,0,OK,-,
8111,0,1,MISS,FN,
7775,1,0,MISS,-,
1123,1,1,OK,-,
7080,1,1,OK,-,
6885,0,1,MISS,FN,
7821,0,0,OK,-,
7667,0,0,OK,-,
5232,1,1,OK,-,
7331,1,0,MISS,-,
7588,1,1,OK,-,
7685,1,1,OK,-,
