codigo_x,prediction,actual,,,
7840,0,0,TP,-,
7505,0,0,TP,-,
6600,0,1,TP,-,
7685,1,1,TP,-,
7331,0,0,TP,-,
5933,0,1,TP,-,
7170,0,1,TP,-,
7774,0,0,TP,-,
5201,0,1,TP,-,
3890,1,1,TP,-,
7834,1,1,TP,-,
3652,0,0,TP,-,
1123,1,1,TP,-,
4044,1,0,TP,-,
7593,0,0,TP,-,
7259,0,1,TP,-,
7312,0,0,TP,-,
7338,0,1,TP,-,
5677,0,1,TP,-,
7737,0,0,TP,-,
6210,1,0,TP,-,
6213,0,0,TP,-,
7812,0,0,TP,-,
849,0,1,TP,-,
7536,0,1,TP,-,
7430,0,0,TP,-,
5181,0,1,TP,-,
7655,0,0,TP,-,
7057,1,0,TP,-,
5558,0,1,TP,-,
4746,1,0,TP,-,
7663,0,1,TP,-,
7407,0,0,TP,-,
7828,0,0,TP,-,
7773,0,1,TP,-,
7839,1,0,TP,-,
1424,0,1,TP,-,
5280,0,1,TP,-,
7742,0,0,TP,-,
6461,0,1,TP,-,
6765,1,1,TP,-,
7694,1,0,TP,-,
7752,0,0,TP,-,
6657,0,0,TP,-,
5000,1,1,TP,-,
5644,0,1,TP,-,
6638,0,1,TP,-,
7800,0,1,TP,-,
6690,0,1,TP,-,
7168,1,1,TP,-,
4233,0,0,TP,-,
7786,0,0,TP,-,
4314,1,1,TP,-,
7632,0,1,TP,-,
6504,0,0,TP,-,
7801,0,0,TP,-,
7604,0,0,TP,-,
7061,1,0,TP,-,
7805,1,0,TP,-,
7633,0,1,TP,-,
7428,0,0,TP,-,
2897,1,1,TP,-,
7558,1,0,TP,-,
6360,1,0,TP,-,
7614,0,1,TP,-,
3318,1,1,TP,-,
7706,1,0,TP,-,
7804,1,1,TP,-,
5139,0,0,TP,-,
6083,1,1,TP,-,
6766,1,1,TP,-,
4137,1,1,TP,-,
7542,0,1,TP,-,
7756,0,0,TP,-,
7759,0,0,TP,-,
3780,1,1,TP,-,
6205,0,1,TP,-,
5027,1,1,TP,-,
7791,1,0,TP,-,
7818,0,1,TP,-,
7815,1,1,TP,-,
7838,1,0,TP,-,
6839,1,1,TP,-,
5646,1,1,TP,-,
7750,0,0,TP,-,
7708,0,1,TP,-,
7833,0,0,TP,-,
5679,0,0,TP,-,
7530,1,1,TP,-,
6028,1,1,TP,-,
6565,1,1,TP,-,
7731,1,0,TP,-,
7753,0,0,TP,-,
3676,0,1,TP,-,
3221,1,1,TP,-,
7741,1,0,TP,-,
7779,0,1,TP,-,
7269,0,0,TP,-,
2522,1,1,TP,-,
236,1,0,TP,-,
7080,0,1,TP,-,
5965,0,1,TP,-,
5447,1,1,TP,-,
7723,0,0,TP,-,
6685,0,1,TP,-,
5549,0,1,TP,-,
854,1,1,TP,-,
7295,0,1,TP,-,
6832,1,0,TP,-,
4807,1,1,TP,-,
6821,1,0,TP,-,
3169,0,1,TP,-,
4514,0,1,TP,-,
7814,0,1,TP,-,
7104,1,0,TP,-,
7754,0,1,TP,-,
7717,1,0,TP,-,
6014,0,1,TP,-,
7775,1,0,TP,-,
7783,0,0,TP,-,
7551,0,0,TP,-,
7715,1,0,TP,-,
3827,1,1,TP,-,
5412,0,1,TP,-,
4504,1,0,TP,-,
7395,0,1,TP,-,
214,1,1,TP,-,
6321,0,0,TP,-,
5232,0,1,TP,-,
4958,0,1,TP,-,
3979,0,1,TP,-,
442,1,1,TP,-,
7699,0,0,TP,-,
7330,0,1,TP,-,
7719,0,0,TP,-,
7841,0,0,TP,-,
7421,0,0,TP,-,
7776,0,0,TP,-,
7823,0,0,TP,-,
7298,1,1,TP,-,
7758,0,0,TP,-,
5396,1,1,TP,-,
5704,0,0,TP,-,
7503,0,0,TP,-,
7588,0,0,TP,-,
7821,0,0,TP,-,
5588,0,0,TP,-,
6203,0,1,TP,-,
6582,0,0,TP,-,
7392,0,0,TP,-,
7226,0,1,TP,-,
7664,0,0,TP,-,
7766,0,0,TP,-,
3326,0,1,TP,-,
449,1,1,TP,-,
6934,1,1,TP,-,
7770,0,0,TP,-,
7137,1,1,TP,-,
6682,1,1,TP,-,
1269,0,1,TP,-,
6006,0,0,TP,-,
1419,1,1,TP,-,
3525,0,1,TP,-,
6885,0,1,TP,-,
4775,0,1,TP,-,
7528,0,0,TP,-,
4832,0,1,TP,-,
7836,0,0,TP,-,
7824,0,0,TP,-,
3321,1,1,TP,-,
2112,0,0,TP,-,
624,1,1,TP,-,
6877,0,0,TP,-,
4385,1,1,TP,-,
7378,0,0,TP,-,
366,1,1,TP,-,
7755,0,0,TP,-,
6206,1,1,TP,-,
4366,1,0,TP,-,
4366,1,0,TP,-,
366,1,1,TP,-,
366,1,1,TP,-,
7618,1,1,TP,-,
7840,0,0,TP,-,
7505,0,0,TP,-,
6600,0,1,TP,-,
7685,1,1,TP,-,
7331,0,0,TP,-,
5933,0,1,TP,-,
7170,0,1,TP,-,
7774,0,0,TP,-,
5201,0,1,TP,-,
3890,1,1,TP,-,
7834,0,1,TP,-,
7851,0,0,TP,-,
3652,0,0,TP,-,
1123,1,1,TP,-,
4044,1,0,TP,-,
7593,0,0,TP,-,
7259,0,1,TP,-,
7312,0,0,TP,-,
7338,0,1,TP,-,
5677,0,1,TP,-,
7737,0,0,TP,-,
6210,1,0,TP,-,
6213,0,0,TP,-,
7812,0,0,TP,-,
849,0,1,TP,-,
7536,0,1,TP,-,
7430,0,0,TP,-,
5181,0,1,TP,-,
7655,0,0,TP,-,
7057,1,0,TP,-,
5558,0,1,TP,-,
4746,1,0,TP,-,
7663,0,1,TP,-,
7407,0,0,TP,-,
7828,0,0,TP,-,
7773,0,1,TP,-,
7839,1,0,TP,-,
1424,0,1,TP,-,
5280,0,1,TP,-,
7742,0,0,TP,-,
6461,0,1,TP,-,
6765,1,1,TP,-,
7694,1,0,TP,-,
6657,0,0,TP,-,
5000,0,1,TP,-,
5644,0,1,TP,-,
6638,0,1,TP,-,
7800,0,1,TP,-,
6690,0,1,TP,-,
7168,0,1,TP,-,
4233,1,0,TP,-,
7786,0,0,TP,-,
4314,1,1,TP,-,
7843,1,0,TP,-,
7848,0,1,TP,-,
7632,0,1,TP,-,
6504,0,0,TP,-,
7842,1,0,TP,-,
7801,0,0,TP,-,
7604,0,0,TP,-,
7061,0,0,TP,-,
7805,0,0,TP,-,
7847,0,0,TP,-,
7633,0,1,TP,-,
7428,0,0,TP,-,
2897,1,1,TP,-,
7558,1,0,TP,-,
6360,0,0,TP,-,
7614,0,1,TP,-,
3318,1,1,TP,-,
7706,1,0,TP,-,
7804,1,1,TP,-,
5139,0,0,TP,-,
6083,1,1,TP,-,
6766,1,1,TP,-,
4137,1,1,TP,-,
7542,0,1,TP,-,
7756,0,0,TP,-,
7759,0,0,TP,-,
3780,1,1,TP,-,
6205,0,1,TP,-,
5027,1,1,TP,-,
7791,1,0,TP,-,
7818,0,1,TP,-,
7815,1,1,TP,-,
6839,1,1,TP,-,
5646,1,1,TP,-,
7708,0,1,TP,-,
7833,0,0,TP,-,
5679,0,0,TP,-,
7530,1,1,TP,-,
6028,1,1,TP,-,
6565,1,1,TP,-,
7731,0,0,TP,-,
7753,0,0,TP,-,
3676,0,1,TP,-,
3221,1,1,TP,-,
7741,1,0,TP,-,
7779,0,1,TP,-,
7269,0,0,TP,-,
7844,0,0,TP,-,
7845,0,1,TP,-,
2522,1,1,TP,-,
236,1,0,TP,-,
7080,0,1,TP,-,
5965,0,1,TP,-,
5447,1,1,TP,-,
6685,0,1,TP,-,
5549,0,1,TP,-,
854,1,1,TP,-,
7295,0,1,TP,-,
6832,1,0,TP,-,
4807,1,1,TP,-,
6821,1,0,TP,-,
7850,0,0,TP,-,
3169,0,1,TP,-,
4514,0,1,TP,-,
7814,0,1,TP,-,
7104,1,0,TP,-,
7754,0,1,TP,-,
7717,1,0,TP,-,
6014,0,1,TP,-,
7775,1,0,TP,-,
7783,0,0,TP,-,
7551,0,0,TP,-,
7715,1,0,TP,-,
3827,1,1,TP,-,
5412,0,1,TP,-,
4504,1,0,TP,-,
7395,0,1,TP,-,
214,1,1,TP,-,
7849,1,1,TP,-,
7849,1,1,TP,-,
849,0,1,TP,-,
849,0,1,TP,-,
6321,0,0,TP,-,
5232,0,1,TP,-,
4958,0,1,TP,-,
3979,0,1,TP,-,
442,1,1,TP,-,
7699,0,0,TP,-,
7330,0,1,TP,-,
7719,0,0,TP,-,
7841,0,0,TP,-,
7846,0,1,TP,-,
7421,0,0,TP,-,
7776,0,0,TP,-,
7823,0,0,TP,-,
7298,1,1,TP,-,
7758,0,0,TP,-,
5396,1,1,TP,-,
5704,0,0,TP,-,
7503,0,0,TP,-,
7588,0,0,TP,-,
7821,0,0,TP,-,
5588,0,0,TP,-,
6203,0,1,TP,-,
6582,0,0,TP,-,
7392,0,0,TP,-,
7226,0,1,TP,-,
7664,0,0,TP,-,
7766,0,0,TP,-,
3326,0,1,TP,-,
449,1,1,TP,-,
6934,1,1,TP,-,
7770,0,0,TP,-,
7137,1,1,TP,-,
6682,1,1,TP,-,
1269,0,1,TP,-,
6006,0,0,TP,-,
1419,0,1,TP,-,
3525,0,1,TP,-,
6885,0,1,TP,-,
4775,0,1,TP,-,
7528,0,0,TP,-,
4832,0,1,TP,-,
7836,0,0,TP,-,
7824,0,0,TP,-,
3321,1,1,TP,-,
2112,0,0,TP,-,
624,0,1,TP,-,
6877,0,0,TP,-,
4385,1,1,TP,-,
7378,0,0,TP,-,
366,1,1,TP,-,
7755,0,0,TP,-,
6206,1,1,TP,-,
4366,1,0,TP,-,
4366,1,0,TP,-,
366,1,1,TP,-,
366,1,1,TP,-,
7618,0,1,TP,-,
7840,0,0,TP,-,
7505,0,0,TP,-,
6600,0,1,TP,-,
7685,1,1,TP,-,
7331,0,0,TP,-,
5933,0,1,TP,-,
7170,0,1,TP,-,
5201,0,1,TP,-,
3890,1,1,TP,-,
7834,0,1,TP,-,
7851,1,0,TP,-,
3652,0,0,TP,-,
1123,1,1,TP,-,
4044,1,0,TP,-,
7593,0,0,TP,-,
7259,0,1,TP,-,
7312,0,0,TP,-,
7338,0,1,TP,-,
5677,0,1,TP,-,
7737,0,0,TP,-,
4008,1,0,TP,-,
6210,1,0,TP,-,
6213,0,0,TP,-,
7812,0,0,TP,-,
849,0,1,TP,-,
7536,0,1,TP,-,
7430,0,0,TP,-,
5181,0,1,TP,-,
7655,0,0,TP,-,
7057,1,0,TP,-,
5558,0,1,TP,-,
4746,1,0,TP,-,
7663,0,1,TP,-,
7407,0,0,TP,-,
7828,0,0,TP,-,
7773,0,1,TP,-,
7839,1,0,TP,-,
1424,0,1,TP,-,
5280,0,1,TP,-,
7742,0,0,TP,-,
7853,0,0,TP,-,
6461,0,1,TP,-,
6765,1,1,TP,-,
7694,1,0,TP,-,
6657,0,0,TP,-,
5000,0,1,TP,-,
5644,0,1,TP,-,
6638,0,1,TP,-,
7800,0,1,TP,-,
