,codigo_x,prediction,actual,veredict,recall,
172,6877,sigue,fue,FP,FN,
173,4385,sigue,sigue,TP,-,
174,7378,sigue,fue,FP,FN,
175,366,sigue,sigue,TP,-,
176,7755,fue,fue,TP,-,
177,6206,sigue,sigue,TP,-,
178,4366,fue,fue,TP,-,
179,4366,fue,fue,TP,-,
180,366,sigue,sigue,TP,-,
181,366,sigue,sigue,TP,-,
182,7618,sigue,sigue,TP,-,
183,7840,sigue,fue,FP,FN,
184,7505,sigue,fue,FP,FN,
185,6600,sigue,sigue,TP,-,
186,7685,fue,sigue,FP,-,
187,7331,sigue,fue,FP,FN,
188,5933,sigue,sigue,TP,-,
189,7170,sigue,sigue,TP,-,
190,7774,fue,fue,TP,-,
191,5201,sigue,sigue,TP,-,
192,3890,sigue,sigue,TP,-,
193,7834,sigue,sigue,TP,-,
194,7851,fue,fue,TP,-,
195,3652,sigue,fue,FP,FN,
196,1123,sigue,sigue,TP,-,
197,4044,sigue,fue,FP,FN,
198,7593,sigue,fue,FP,FN,
199,7259,sigue,sigue,TP,-,
200,7312,sigue,fue,FP,FN,
201,7338,sigue,sigue,TP,-,
202,5677,sigue,sigue,TP,-,
203,7737,fue,fue,TP,-,
204,6210,sigue,fue,FP,FN,
205,6213,fue,fue,TP,-,
206,7812,fue,fue,TP,-,
207,849,sigue,sigue,TP,-,
208,7536,sigue,sigue,TP,-,
209,7430,sigue,fue,FP,FN,
210,5181,sigue,sigue,TP,-,
211,7655,sigue,fue,FP,FN,
212,7057,fue,fue,TP,-,
213,5558,sigue,sigue,TP,-,
214,4746,sigue,fue,FP,FN,
215,7663,sigue,sigue,TP,-,
216,7407,sigue,fue,FP,FN,
217,7828,fue,fue,TP,-,
218,7773,sigue,sigue,TP,-,
219,7839,sigue,fue,FP,FN,
220,1424,sigue,sigue,TP,-,
221,5280,sigue,sigue,TP,-,
222,7742,fue,fue,TP,-,
223,6461,sigue,sigue,TP,-,
224,6765,sigue,sigue,TP,-,
225,7694,fue,fue,TP,-,
226,6657,sigue,fue,FP,FN,
227,5000,sigue,sigue,TP,-,
228,5644,sigue,sigue,TP,-,
229,6638,sigue,sigue,TP,-,
230,7800,fue,sigue,FP,-,
231,6690,sigue,sigue,TP,-,
232,7168,sigue,sigue,TP,-,
233,4233,fue,fue,TP,-,
234,7786,fue,fue,TP,-,
235,4314,sigue,sigue,TP,-,
236,7843,sigue,fue,FP,FN,
237,7848,fue,sigue,FP,-,
238,7632,sigue,sigue,TP,-,
239,6504,fue,fue,TP,-,
240,7842,sigue,fue,FP,FN,
241,7801,fue,fue,TP,-,
242,7604,sigue,fue,FP,FN,
243,7061,fue,fue,TP,-,
244,7805,fue,fue,TP,-,
245,7847,fue,fue,TP,-,
246,7633,sigue,sigue,TP,-,
247,7428,sigue,fue,FP,FN,
248,2897,sigue,sigue,TP,-,
249,7558,sigue,fue,FP,FN,
